,MSW kg/per capita/day 2020,Population 2020,GDP per capita (PPP international USD),Urbanization rate (%),Human Development Index
0,-0.0870578611191215,0.9888468086366891,-0.03046018581139679,0.01713395335346788,0.17625897063016338
1,-0.04786247479791564,0.9705376571021855,-0.02946184719348051,0.15634400408430338,-0.03644300176883512
2,-0.23617008207771803,0.9829061210718915,0.08555017910413695,0.3593937292921726,0.26366691654447666
3,-0.037297044934919144,0.9649488913549875,-0.016439458729808815,0.11781276034080773,0.13757184272207204
4,-0.04786247479791564,0.9705376571021855,-0.02946184719348051,0.15634400408430338,-0.03644300176883512
5,0.13220713676699006,0.9919927517540585,0.0738494663354596,-0.26941838873349994,0.2531374051645784
6,0.1464794303933243,0.9261497647465962,0.02107653286553457,0.22535996944027753,0.1034446891298281
7,-0.04786247479791564,0.9705376571021855,-0.02946184719348051,0.15634400408430338,-0.03644300176883512
8,-0.0007431874681310402,0.9931114773483872,0.031237172494200306,-0.17622078111452308,-0.1306187866766221
9,-0.08515260532409084,0.9900829752334254,0.023437266321154657,0.16253098664665497,0.2268051684277292
10,-0.029406030353590643,0.9770159614032786,-0.040642140441463345,0.11844019008278611,0.1655445597775927
11,0.2913935544546492,0.8349901361376824,0.02060707218020523,0.35668181462988013,0.2433457132395862
12,-0.037297044934919144,0.9649488913549875,-0.016439458729808815,0.11781276034080773,0.13757184272207204
13,-0.013252137206760755,0.9171099318222924,-0.002302734572714085,-0.030086751817123517,-0.04262156359088036
14,-0.037297044934919144,0.9649488913549875,-0.016439458729808815,0.11781276034080773,0.13757184272207204
15,0.2913935544546492,0.8349901361376824,0.02060707218020523,0.35668181462988013,0.2433457132395862
16,-0.04786247479791564,0.9705376571021855,-0.02946184719348051,0.15634400408430338,-0.03644300176883512
17,-0.06301295339096312,0.9410078491039939,-0.01632346165430206,-0.13076555880446336,-0.00393443568278902
18,-0.13643052894352636,0.9817845033360781,-0.08229880141787078,0.21558208797989542,0.13410837322733327
19,-0.0870578611191215,0.9888468086366891,-0.03046018581139679,0.01713395335346788,0.17625897063016338
20,-0.08811195165890483,0.9802476043540553,0.07914268813872441,0.12959815091962343,0.0780948922910244
21,-0.13643052894352636,0.9817845033360781,-0.08229880141787078,0.21558208797989542,0.13410837322733327
22,0.1464794303933243,0.9261497647465962,0.02107653286553457,0.22535996944027753,0.1034446891298281
23,0.022154689996597615,0.9699582983809443,0.19230833038175754,0.13374982105056665,-0.013392141642448823
24,0.09671861420912194,0.9500476820282976,0.0070558057839465935,0.12468116245293767,0.14213181703791944
25,-0.037297044934919144,0.9649488913549875,-0.016439458729808815,0.11781276034080773,0.13757184272207204
26,0.1464794303933243,0.9261497647465962,0.02107653286553457,0.22535996944027753,0.1034446891298281
27,-0.029406030353590643,0.9770159614032786,-0.040642140441463345,0.11844019008278611,0.1655445597775927
28,0.13220713676699006,0.9919927517540585,0.0738494663354596,-0.26941838873349994,0.2531374051645784
29,0.030045704577926113,0.9820253684292353,0.16810564867010303,0.13437725079254503,0.014580575413071818
30,0.13220713676699006,0.9919927517540585,0.0738494663354596,-0.26941838873349994,0.2531374051645784
31,0.13166198685456415,0.8259503032133786,-0.002772195258043425,0.10123509337247913,0.09727946051887776
32,0.2913935544546492,0.8349901361376824,0.02060707218020523,0.35668181462988013,0.2433457132395862
33,0.04901762871607132,0.9692135600666858,0.04525789957578828,-0.07554197412718323,-0.16930591458471345
34,-0.013252137206760755,0.9171099318222924,-0.002302734572714085,-0.030086751817123517,-0.04262156359088036
35,-0.06301295339096312,0.9410078491039939,-0.01632346165430206,-0.13076555880446336,-0.00393443568278902
36,0.05690864329739982,0.9812806301149768,0.021055217864133752,-0.07491454438520484,-0.14133319752919282
37,-0.23617008207771803,0.9829061210718915,0.08555017910413695,0.3593937292921726,0.26366691654447666
38,-0.013252137206760755,0.9171099318222924,-0.002302734572714085,-0.030086751817123517,-0.04262156359088036
39,-0.0053611226254322575,0.9291770018705835,-0.026505416284368616,-0.029459322075145122,-0.014648846535359715
40,-0.04786247479791564,0.9705376571021855,-0.02946184719348051,0.15634400408430338,-0.03644300176883512
41,0.1464794303933243,0.9261497647465962,0.02107653286553457,0.22535996944027753,0.1034446891298281
42,0.13220713676699006,0.9919927517540585,0.0738494663354596,-0.26941838873349994,0.2531374051645784
43,-0.0870578611191215,0.9888468086366891,-0.03046018581139679,0.01713395335346788,0.17625897063016338
44,0.1464794303933243,0.9261497647465962,0.02107653286553457,0.22535996944027753,0.1034446891298281
45,0.2913935544546492,0.8349901361376824,0.02060707218020523,0.35668181462988013,0.2433457132395862
46,-0.04786247479791564,0.9705376571021855,-0.02946184719348051,0.15634400408430338,-0.03644300176883512
47,0.2913935544546492,0.8349901361376824,0.02060707218020523,0.35668181462988013,0.2433457132395862
48,0.1464794303933243,0.9261497647465962,0.02107653286553457,0.22535996944027753,0.1034446891298281
49,0.1464794303933243,0.9261497647465962,0.02107653286553457,0.22535996944027753,0.1034446891298281
50,-0.4661249701725142,0.9829174330459325,0.5436637636904691,-0.4210126426154097,-0.4532951726447696
51,0.2913935544546492,0.8349901361376824,0.02060707218020523,0.35668181462988013,0.2433457132395862
52,-0.04786247479791564,0.9705376571021855,-0.02946184719348051,0.15634400408430338,-0.03644300176883512
53,0.2913935544546492,0.8349901361376824,0.02060707218020523,0.35668181462988013,0.2433457132395862
54,0.2913935544546492,0.8349901361376824,0.02060707218020523,0.35668181462988013,0.2433457132395862
55,0.05690864329739982,0.9812806301149768,0.021055217864133752,-0.07491454438520484,-0.14133319752919282
