Model,Region,MSE,R²,MAE,RMSE
Gradient Boosting Regressor,West Asia and North Africa,102541225.36155584,0.44722973606801775,6387.433842776736,10126.264136469868
Extra Trees Regressor,West Europe,32408628.500000007,0.8923381856837944,5608.58,5692.857674314369
Random Forest Regressor,West Europe,120514893.31124999,0.5996482212749878,10218.134999999998,10977.927550828981
Bagging Regressor,West Europe,174094469.125,0.4216562910579774,13040.05,13194.486315313681
AdaBoost Regressor,West Europe,345051282.5,-0.14626409155461806,13356.5,18575.556048204857
Gradient Boosting Regressor,West Europe,67075721.50514654,0.7771737278603874,5919.762420412534,8189.9768928334925
Extra Trees Regressor,North Europe,203481806.4840667,-0.12748519253421708,8818.14,14264.704921030323
Random Forest Regressor,North Europe,212215158.86669996,-0.17587637631001796,9179.103333333333,14567.606490659335
Bagging Regressor,North Europe,215408338.95999995,-0.19356966955573474,9146.533333333333,14676.795936443346
AdaBoost Regressor,North Europe,203108182.0,-0.1254149530340265,9119.333333333334,14251.602787055215
Gradient Boosting Regressor,North Europe,199859934.40575412,-0.10741653279450558,8996.538171560323,14137.182689834426
Extra Trees Regressor,South Europe,192789437.39582497,-0.3733889813296325,9692.0475,13884.863607390062
Random Forest Regressor,South Europe,195999454.26655,-0.3962564260386727,9916.205,13999.980509506076
Bagging Regressor,South Europe,193407857.37,-0.377794467386539,9832.849999999999,13907.115350424041
AdaBoost Regressor,South Europe,185510156.015625,-0.3215330032500934,9593.8125,13620.211305836081
Gradient Boosting Regressor,South Europe,185873581.35988066,-0.3241219643989963,9570.65428519013,13633.546176981272
Extra Trees Regressor,Australia and New Zealand,77369616.0,,8796.0,8796.0
Random Forest Regressor,Australia and New Zealand,77369616.0,,8796.0,8796.0
Bagging Regressor,Australia and New Zealand,77369616.0,,8796.0,8796.0
AdaBoost Regressor,Australia and New Zealand,77369616.0,,8796.0,8796.0
Gradient Boosting Regressor,Australia and New Zealand,77369616.0,,8796.0,8796.0
Extra Trees Regressor,Oceania,225756.543925,-0.055987248651184984,256.9375,475.1384471130494
Random Forest Regressor,Oceania,253382.345475,-0.185208283237273,278.2775,503.37098195565466
Bagging Regressor,Oceania,268970.87499999994,-0.25812439063964,289.4,518.6240208474728
AdaBoost Regressor,Oceania,255496.17361111112,-0.19509581747554972,277.4583333333333,505.4662932492246
Gradient Boosting Regressor,Oceania,249054.36392747448,-0.1649639383907162,283.3336241829772,499.0534680046563
Theil-Sen Regressor,East Asia,745825266.4150134,0.9509801200470991,21490.249757658596,27309.801654626008
Theil-Sen Regressor,Central and South Asia,70349838.15161906,0.9913538760240138,5875.072951603835,8387.481037332906
Theil-Sen Regressor,North America,544662030.731876,,23337.995430882147,23337.995430882147
Theil-Sen Regressor,South America,74795162.25937077,0.9428430842777279,6160.60929171505,8648.419639412208
Theil-Sen Regressor,Sub-Saharan Africa,15462802.170664301,0.5010871577940517,2304.6156953715986,3932.27697023802
Theil-Sen Regressor,East Europe,965839.4695831407,0.9777059385835678,897.4811061354426,982.7713211033076
Theil-Sen Regressor,Central America and the Caribbean,54905971.99077046,0.7993178735574861,4553.428287770004,7409.856408242366
Theil-Sen Regressor,West Asia and North Africa,43105072.83799579,0.7676329456230644,5358.7836963016,6565.445364786443
Theil-Sen Regressor,West Europe,5435807.821533777,0.9819421876386856,2185.8995472319784,2331.48189388933
Theil-Sen Regressor,North Europe,4355729.989358805,0.97586506061384,1723.9033261590205,2087.038569207288
Theil-Sen Regressor,South Europe,3044103.136074397,0.9783144877562359,1198.2988134734642,1744.7358356136315
Theil-Sen Regressor,Australia and New Zealand,31072661.224489853,,5574.285714285719,5574.285714285719
Theil-Sen Regressor,Oceania,1540256.550245064,-6.204625161388889,678.6975542341212,1241.0707273338874
